review,label
"Una compra frustrante, no vale la pena.",negativo
"El artículo se rompió en pocos días, mala calidad.",negativo
"No recomiendo este tienda, servicio muy malo.",negativo
"El producto no funciona como se anuncia, terrible.",negativo
"Tardaron mucho en responder, estoy insatisfecho.",negativo
"El artículo no llegó defectuoso, no lo compren.",negativo
"Una experiencia decepciona, no volveré a comprar.",negativo
"El producto es de baja calidad, no sirve.",negativo
"El servicio al cliente fue un desastre, no ayudó.",negativo
"El artículo se dañó rápido, muy dececionado.",negativo
"No vale la pena, el producto es pésima.",negativo
El servicio es lento y el artículo llegó roto.,negativo
"El producto no cumple con lo prometido, horrible.",negativo
"Una compra terrible, estoy muy insatisfecho.",negativo
"El artículo es defectuoso, no lo recomiendo.",negativo
"Tardaron demasiado en la entrega, mal servicio.",negativo
"El producto se rompió al usarlo, pésima calidad.",negativo
"No compren aquí, es una pérdida de tiempo.",negativo
"El artículo no funciona, estoy muy dececionado.",negativo
"Una experiencia frustrante, no vale la pena.",negativo
"El producto es de mala calidad, no lo compren.",negativo
"El servicio es horrible, no resuelve nada.",negativo
"El artículo no llegó dañado, una completa decepción.",negativo
"No recomiendo este artículo, es una estafa.",negativo
"El servicio al cliente fue pésimo, no ayudaron.",negativo
"El producto se descompuso rápido, muy malo.",negativo
"Una compra decepciona, no volveré a comprar.",negativo
"El artículo no cumple con lo anunciado, terrible.",negativo
"El artículo no cumple con lo especificado, horrible.",negativo
"No me gusto para nada, el producto llegó fallado y no funciona.",negativo
"Malo, el producto no cumple con lo que promete.",negativo
"El producto está bien, pero no es nada extraordinario.",negativo
"Funciona correctamente, aunque esperaba un poco más.",neutral
"Es un producto promedio, cumple con lo que promete.",neutral
"El servicio fue aceptable, sin mayores problemas.",neutral
"Está bien, hace lo que promete, pero no me sorprendió.",neutral
"Normal, no tengo quejas, pero tampoco estoy impresionado.",neutral
"El producto es decente, pero hay mejores opciones.",neutral
"Cumple con lo básico, no tengo mucho que decir.",neutral
"Es aceptable, aunque el diseño podría mejorar.",neutral
"No está mal, pero no es algo que recomendaría.",neutral
"El producto es funcional, pero no sobresale.",neutral
"Servicio correcto, sin nada destacable.",neutral
"Está bien, pero no es lo mejor que he probado.",neutral
"Cumple su función, aunque esperaba algo más innovador.",neutral
"Es un producto normal, no tengo quejas.",neutral
"Aceptable, pero no me impresionó demasiado.",neutral
"Funciona bien, pero hay alternativas mejores.",neutral
"No está mal, pero podría ser más eficiente.",neutral
"Es un producto estándar, hace lo que se espera.",neutral
"Neutral, no tengo opiniones fuertes al respecto.",neutral
"El producto cumple, pero no es nada especial.",neutral
"El servicio fue correcto, sin problemas ni méritos.",neutral
"Está bien, pero no destaca en nada.",neutral
"Funciona como se espera, sin sorpresas.",neutral
"Es un producto aceptable, pero no sobresaliente.",neutral
"No tengo quejas, pero tampoco estoy emocionado.",neutral
"El producto es decente, cumple con lo básico.",neutral
"Servicio normal, nada fuera de lo común.",neutral
"Está bien, pero no es algo que recomendaría.",neutral
"El producto funciona, pero no me impresionó.",neutral
"Es un artículo promedio, hace lo que debe.",neutral
"El servicio fue aceptable, sin nada destacable.",neutral
"Cumple con lo esperado, pero no es excepcional.",neutral
"El producto es normal, no tengo mucho que decir.",neutral
"Está bien, pero podría ser mejor en diseño.",neutral
"Funciona correctamente, pero no es nada especial.",neutral
"El servicio fue decente, sin problemas ni méritos.",neutral
"Es un producto estándar, no destaca.",neutral
"No está mal, pero hay mejores opciones en el mercado.",neutral
"El producto cumple, pero no me sorprendió.",neutral
"Servicio aceptable, nada fuera de lo común.",neutral
"Está bien, pero no es lo mejor que he probado.",neutral
"El producto es funcional, pero no sobresale.",neutral
"Cumple con lo básico, sin nada destacable.",neutral
"Es un artículo normal, no tengo quejas.",neutral
"No está mal, pero no lo recomendaría mucho.",neutral
"El producto funciona, pero no es excepcional.",neutral
"Servicio correcto, sin nada que resaltar.",neutral
"Está bien, pero esperaba algo más innovador.",neutral
"El producto cumple, pero no es nada especial.",neutral
"Es un artículo aceptable, pero no destaca.",neutral
"No tengo quejas, pero no estoy impresionado.",neutral
"El producto es decente, cumple con lo esperado.",neutral
"Servicio normal, sin problemas ni méritos.",neutral
"Está bien, pero no es algo que recomendaría.",neutral
"El producto funciona, pero no me sorprendió.",neutral
"Es un artículo promedio, hace lo que debe.",neutral
"El servicio fue aceptable, sin nada destacable.",neutral
"Cumple con lo esperado, pero no es excepcional.",neutral
"El producto es normal, no tengo mucho que decir.",neutral
"Está bien, pero podría mejorar en diseño.",neutral
"Funciona correctamente, pero no es nada especial.",neutral
"El servicio fue decente, sin problemas ni méritos.",neutral
"Es un producto estándar, no destaca.",neutral
"No está mal, pero hay mejores opciones disponibles.",neutral
"El producto cumple, pero no me impresionó.",neutral
"Servicio aceptable, nada fuera de lo común.",neutral
"Está bien, pero no es lo mejor que he probado.",neutral
"El producto es funcional, pero no sobresale.",neutral
"Cumple con lo básico, sin nada destacable.",neutral
"Es un artículo normal, no tengo quejas.",neutral
"No está mal, pero no lo recomendaría mucho.",neutral
"El producto funciona, pero no es excepcional.",neutral
"Servicio correcto, sin nada que resaltar.",neutral
"Está bien, pero esperaba algo más innovador.",neutral
"El producto cumple, pero no es nada especial.",neutral
"Es un artículo aceptable, pero no destaca.",neutral
"No tengo quejas, pero no estoy impresionado.",neutral
"El producto es decente, cumple con lo esperado.",neutral
"Servicio normal, sin problemas ni méritos.",neutral
"Está bien, pero no es algo que recomendaría.",neutral
"El producto funciona, pero no me sorprendió.",neutral
"Es un artículo promedio, hace lo que debe.",neutral
"El servicio fue aceptable, sin nada destacable.",neutral
"Cumple con lo esperado, pero no es excepcional.",neutral
"El producto es normal, no tengo mucho que decir.",neutral
"Está bien, pero podría mejorar en diseño.",neutral
"Funciona correctamente, pero no es nada especial.",neutral
"El servicio fue decente, sin problemas ni méritos.",neutral
"Es un producto estándar, no destaca.",neutral
"No está mal, pero hay mejores opciones en el mercado.",neutral
"El producto cumple, pero no me impresionó.",neutral
"Servicio aceptable, nada fuera de lo común.",neutral
"Está bien, pero no es lo mejor que he probado.",neutral
"El producto es funcional, pero no sobresale.",neutral
"Cumple con lo básico, sin nada destacable.",neutral
"Es un artículo normal, no tengo quejas.",neutral
"No está mal, pero no lo recomendaría mucho.",neutral
"El producto es funcional, pero no es excepcional.",neutral
"Servicio correcto, sin nada que resaltar.",neutral
"El producto está bien, pero no es nada fabuloso.",neutral
